address,allocation
0x06c230EadA43CEa5b8A4557046F15D21B0076e41,1
0x10df827356bbeaa8603d8aa96c5149b549250c7a,1
0x397a9ddc2Bee878aE46C64932f720E44c6a9cc6a,1
0x3da8D02adD474F77C15Ea1B4e4A5250c82f0159B,1
0x5B66991aD83dF666A168476d8a5Cca15c263Cac9,1
0x63C48D6dD674eE624a03e142482fAf2bBD0749a9,1
0x83fA816818CEdb362254c78A5D57121eE15B6fd9,1
0x8e517cFc331b602332A73f40c7D8c25679E5E88f,1
0xa2a82E36F3bbdC596E0B26C90775FA287fDB0248,1
0xa41A65FAD1167C9bA72b3B93ecdcbC8380363Fa5,1
0xa8625215500FeA7Bb445914F4E6675165C8C1623,1
0xc43aBdC773184a1c87F9b4858aCB09e627709daC,1
0xCb73cc89B9Db7E4496a4BbF5278ae06a737dc700,1
0xcb8C470ADe68afc21e307891fC3cFDf37f960B6D,1
0xcbd4795c42f23853A9540D7809f5cA0b66201BA1,1
0xd62a38Bd99376013D485214CC968322C20A6cC40,1
0xEd4D26cdc11B5602e036b94ADE2EB24802D4Caf4,1
0x7c49096fd0263cec0ddda72cdcf42896c3f99994,1
0x87d7253d03D081c6f4355Ce1C47567b1134A56C4,1
0x6546D6b85EFB10b5186144a72A82A8b6836FdBC1,1
0x33e0096B673868eDEB790cD31D314164333c1fA2,1
0x7309324db2cf1a48a48ee1d009075d61a45b9804,1
0x431aEcC36cA6B1187CBbD5daB1efA59E285F9F8b,1
0x06BF675AF765756843939d59d3410fD826FEFce6,1
