address,allocation
0x079a1e1558a9a137589b9442d1a393940bc137c1,131
0x079c5ca3ed6fc7e67dbe2e84f9a3ec8d3e390529,333
0x07c5414e52586bdd7d78130ed828a1cb7a4014eb,3767
0x07f3303a0472a4ead9cdcf81a682e311fdc6c164,1550
0x08089b6d3653599b5d43cb4d0056b2130b48f0f4,35700
0x084098d591704b60211b1d6b61a106f2a687f4b1,27735
0x0854d733314c1ea08c386ccb6654daaa96b01f8f,5952
0x085cb895d22ec541fb4743e973c3435dd0e829e6,28055
0x08696694f242f0760a8a3e5b6f415476dacc32f4,3301
0x0894d99f42119a80a0ce668e02a7e08dce5276e2,10311
0x08af03c672f1aceb444bb8cf290e73f956be904b,160000
0x08c74883ecb44e68c3665d315155bdc3cd203679,13645
0x08ccab27d63b45262d71f6854af6a4a3e9acc120,565
0x08ccd3f5a89f10c2409bc3929586bd80a78ad6ef,77792
0x091ae176cbacfaa5cdd59c3c1163b93281026e9d,50
0x09722ae9fe5e9432fbb15a272f9248e06eb58571,100
0x098e3654638583a6814426aa50e683a7b5a5b3a3,8910
0x0997e4f93540f222516583742681f58ee3db49d4,800
0x09a62ae3f8ee291b0b2fc316370c1166618e102a,2707
0x09b2935beafcdd15390bfd6cc5cd1066aab8a209,14538
0x09b4a86a160e37d06fa2fb5749326b5a6106fe9d,786
0x09c450150abc14c949a942d2e7573b7ce0bc5dad,300
0x09cd424a050441cb41e9bec0179e40663597cd6d,50
0x09d4b04c2c6eff828f752f73e6281d497b85e8ab,1445000
0x09d85c1b9a940f1cdbcabe97f983d2d1637d32b1,32699
0x09f16610f22e4fd0f388f54cf1a542561974b3c9,1423475
0x09fa845897632f71dce16ddd6de0b10b100d3e5a,22551
0x09fde3444877d6b4402bb1268e11ff0d07d73164,3
0x0a34acaf6dd5538e402f38b198dd58ba5107d375,752
0x0a3ac908e7c3dd99ee81bbd4f0ef3e16cb8e9a8c,683
0x0a4671b396f15f4ee45f39e4e397b7937d6406a0,2105
0x0a583f37a11a57b77fa0e3a13e55c17ebfba6453,857
0x0a72ebae0321b78bf42b5846c57f90d714a5cb31,364518
0x0a9c4f86a7a4e7415984d44c9a09cf1f8c58751e,1050
0x0aa50a40b0110801fd9cf698a330274c8938e908,45981
0x0aadb2dc395b44fb536e3ce9a0a23f5bc963317c,218
0x0aade12e6ccb024c28f3b2cfb1d0da369ad0e4bb,1675
0x0aed44fb993f695515659bf355bc6229c42382ef,3000
0x0b303152a9d22e0154a1fcb827d74a3dc65e3299,2000
0x0b3048759798f10fdb0220065e73d92dcd453d87,281
0x0b31ba0ec15f9abec12aa394181c94c6801adfcb,4000
0x0b462c9973f7d4b2e6abe15c3423d78b7f5cf5ea,7
0x0b4ffbbe72ffe53cf9d6d61642d10ea9bdc76c09,8264
0x0b8638a4f0cd2c1544c04f878bec230445efb5c3,3
0x0bbb600a304def8b5a7a307cba2ba17d37e9df34,514
0x0bfc86453c59695c4f94b679e3e4d8dc21901cce,681
0x0c016754f6926bc4b1adb9198dbdd42e26be30b6,1180
0x0c0393a1860b75a8d2d3f5e9fefa595af02446fc,1023
0x0c16aee345d6a6e466a8273351731caf6650cff7,500
0x0c19f2753761ce6065cc4465d67c9a910538e92d,50
0x0c35bdcb4515348f227a778c64c47cb9d2236bde,140417
0x0c37758560aa4e623dc8d36af78bd2343da1f980,1172
0x0c541bb833b32e98e3492febe4c8f857066b34b8,2052
0x0c63cc8222f28ba186a619d123338b4b701df56e,515
0x0c70dc96a0fa002c0c8f33e86ab6e95610290f90,73143
0x0c74a0ef0c3e2500241721a6e9977fd93dc8fbd1,800
0x0cbe1fba05102c34365a742af159efc5a93d1a68,101500
0x0cdb6447598de909e89f5d7e1371b8c2ab452e15,5480
0x0ce16f4f0871f7f07d0e5b195436caca34c56a0a,200
0x0ce446255506e92df41614c46f1d6df9cc969183,1
0x0cea0e7ee58de417fbd7ac6fb057712f933e9f08,21
0x0cee9942a8dc4aa6f594d680f6b9654f02ab62d1,8914
0x0d0748a9d67ed5c2b6eb69c9a639a482a482415d,768
0x0d12ff0694cf42bffca68f6a003dd15d37509cb2,26000
0x0d49f2a4164862668d869d374136548fabc4a4d3,13
0x0d4ccf27ea75e811411495d6c6c138437e645b9c,8
0x0d53cd9fc121d223b5c337bc54bf09fe95caca13,47250
0x0d5e70fbf17996569fd5f22e4d479668d91f01d5,268
0x0d70311c781a5a7d64ed10200d5d7cd9d81ba2c1,5
0x0db0237d486fb5d9a2bd709c5777b8d382f3d713,22223
0x0db5e7924d87d2ec27876882e7af911a58050dd1,50
0x0dbaf1cf49cb46d8bc44f5e2746d46cdec036bb3,229000
0x0dde006ff4caf748bd0f0d3d84683dd4cae81dd0,1023
0x0de704532db8939c942298807b1a7cb59a46f642,1283
