address,allocation
0x2b43ec4f875aac79a11b103f5eaa776bf5f0816e,3253
0xe17cbfe0883d3f6c2a8764c1478c1c9160d48231,3252
0x7890d5fc7aef353de00a6ccca602b5a6f21e77ed,3067
0x98fb935755571501d1f191d3eb7b4f43ad2e60eb,3007
0xc7df58d2396fed83a12970b3d77f0faab8dfc2a7,2773
0x639d6ec2cef4d6f7130b40132b3b6f5b667e5105,2750
0xf53c764cd9019df88efcd7b1697f158c72407b8b,2750
0xf602b2b32dd14aba2167d8ce57a876bc7c79fa36,2747
0x22cacff641e5a7450a6a00bb2e93d3b92170f26f,2739
0xda64134bb2b9f54aee0641329ba720de53c3f118,2720
0xccb79bdb1cefeb0a737a613e4340eae476a867e4,2694
0x70bc228d46558c4ee7dae2819fdbd446e1fb358b,2686
0xa0f39111d7d1124aca553e53883ea4d991a80675,2642
0x771d6dac11f309f818861c0a9340c29b35c47f99,2610
0x8e0e686e74ceb5679975eadaf9a178efd54f890b,2548
0x4ac6855e72c6401fa939398c995c666d6a7d1078,2534
0x55e2334a145c612e6ed2a41a2a3ed310df36275d,2532
0x2159d6ab53588fc4a8cc9e8eac33764038343f40,2511
0x06c9fa07b23ac991c90ede810656b74fcef4a5fd,2495
0x60d046fa5cab6e708d5b5df6c028eddaa6d51fc9,2490
0x86d15d01cda6da5018621426d1d74888c0cb7239,2487
0x78d83588e32d3188f439868d2eeb3058079986cb,2399
0xa48c6c6871dac1445b1fb4ffe4a159aa9aa90962,2399
0xbd45b330c910d94043775340bed09fa3f948231f,2372
0x782fea106513c8bfec26499e99ee5712508f9ec1,2350
0xa64d774c4ae468e2c068c98ff1205889fbb9de54,2343
0xce174b0a8be8dcd1c5b3cf19510f49d995dbb89f,2315
0xfcd4ee2ac94bf83dcb0998e71d782fbe8725bb10,2260
0x50636c7a56069690d47013740dbe193cc92fe274,2254
0xb17294577040c22892e4e87f6c3b2fe12706bb03,2254
0x8624372c03fd2fc7d6f6319e01bc15914aaad05e,2253
0x9b6774e876b5495cf554bc640fb8cd4f233cdda1,2250
0xb5222413d3448888ae7332478b1930d5005c4946,2250
0xd5521b04cec516d4bf9670ff264a94c9e5981a21,2250
0x1841004507f1243f6270a68104065071d8197189,2244
0x23f3234d6c301538c89c0ce8487ddec4f438c7d5,2238
0x536487eaf3bebb881309c9b03a8f35f84995aed5,2187
0xa157402fd5f47d7fcc60af29352806e77ef18ae6,2161
0x2703373402edaa685a2a1492c794657c449b011e,2088
0x02e7854234485b7297b3b3e61ad7a59a994b3594,2083
0xb3bf66e38cd47c678cae2d4b4084849b2b82cd4d,2081
0xb1e148735a8d83a6b8072702f047904e8cf58d24,2018
0x53fc6462511554b799b465bd94a4886d9a46135f,1950
0x1097ea6becc91b6e94a32a6ba3596f49c8e0415a,1899
0x75d8d5a72bdc0c296f9135b4865a7308bf32e2c6,1883
0x59b237e37e5383ec255613948775403d262f8fb0,1862
0xb618f5566524806775449394141f5b261c7b2e48,1861
0x2ba6395d242975a030867c0f0336c4ede33b13d7,1831
0x5a26882a6d5360f917603d70e74a18c3519d0e0b,1819
0xd0dc0a13118cfc1bdafc9fa4f7df679dfecb466a,1775
0xd3f35499e7ce34f6921a0e7dbc9086b2098ffbf1,1770
0x1136b7ff83eeac94952afb3458e739bdb2c7c9cd,1760
0xe2b003a5a9feae555f634d74687285c581bac262,1750
0x296b436529dc64c03e9ceb77f032a04071d6c057,1750
0x2d3df9bd67ff905fe9de5f5385aa19cfa57de562,1750
0x857d52c8bbf86787da4811b9086d0d708bdae994,1749
0x6d9096cfff4dc143320536f7d4275b7b80366037,1746
0x0ecf34f73b10569db3adbc59f572bc2c50febe21,1720
0x98af3fd9255fc6bc67f8c3acd917ed84ff9aaf3c,1700
0x8960b58d8362a4dcf6c0452b6fd37ba46288b5b2,1693
0x71a5355ceff2e0cb62ae6b8998f9f3ee082a5e11,1650
0x16d4c30002b5355212bc123821d9aa61d1c072b7,1645
0xadc36d35c8899b2fe20a1c0829a17709f59ca95a,1642
0x92938478236dad7877b43379b64051801e85fb4a,1642
0x7ca6ad22fa6fbf755e92eadd58f71b90707d8305,1631
0x7f8f5ed5a891e1c7c5980e3be6232b7ca6b5b4d1,1629
0xd77826059029d9ddb3b9fe08bbe831958a1e84cc,1607
0x88b7202dae308c6e5d163576f23b0b04ba9afb78,1565
0x77857e5a93127c8c658bd87d3e25e47649cc29c8,1550
0x5f3e45c89674d4f2a9b2585ee845b9767cca92af,1515
0xb216c87481d8de03be30cbf4ae24a741baa089fe,1511
0x3833f8dbdbd6bdcb6a883ff209b869148965b364,1500
0xa4c98976dd5fde695de039560d67004facee466c,1474
0xde8886866335c42f7bad003c1d67d2075b9b7f25,1444
0xb61afc5e7798bd136dbb049299586623d061f312,1433
0x75fd1a140624ebfb3dda852b474483012a693038,1391
0x39d07a75bcc6cd90e4b928f9c26d4586617e49ab,1363
0x039e551b7fd2961817cef5a2a0dd2f727e5a99a5,1330
0xa438210894a2dfcb653e9a83cbd6c734d6d22595,1268
0x267597c95017b217735ff34c94bd30ea7ef96941,1256
0x4ed906793dd63dc67c0497e899eb586f174d72d0,1256
0x80289615c419736c3732b5f84c05073621b4d7ca,1256
0xd43c59a0e255bdecedf63ea52ab39c5d8ad2dfdb,1256
0x142c7067ec8ae038070c72e34cdf0fa7d307c2b3,1250
0x1fab0ce7813f7b455b797fa68d7687e95f816568,1250
0x39c27145670811b1fcca72b9dc1c949728cfe4c6,1250
0xb2f2ddbce100b2476629ba26a7941edac06174b3,1250
0xce4a1745541148b39f7f3eaa4b25f6eadde31604,1250
0xf6265604f978832e6cf3de3c77b66e8396118860,1250
0x1077f66f5e18fb99d4669294b5c0e2b0b172c016,1236
0x3075df7ec96ca1ea8ce5b02e53509ea759d09352,1208
0xf1a2b7aa09233715cfdcefe95fc74f6fc06307cb,1192
0x25b40b4d32cad4527871a6add4e73d6194297a47,1189
0x972c2a81356e187db5330e0cbf03b8126cdbc85c,1180
0x793cedd46440a46e355e02fbc6ea40ef91339286,1170
0xa6f4c3df773d691b5ab389ada851e26e347d41e3,1158
0x916b54e547fbc85efe5fe888af6869439c5fde7c,1133
0x9b7fb6025a05d1876f58ed12b2045a063faf280e,1133
0xbf8c73ca501be9f3667c37eb261192a30949e07a,1116
0xee4a6eb6874baaed8949f55763379ad5e91404f6,1081
0x4118f5959b7fccacf4fe7a8c9ed53b1af7f39039,1075
0x3239f49d5298613eb4dbf99b37ce795f3159dcd3,1050
0x647e2131bd53375663fe60931f9779758d6bb155,1047
0x450ee87815997a14a9ee7fdf958b307f54dd4ab3,1018
0x90cf2623fde82489cbecb763f059f2b35cbfb2a4,1016
0x7a6b381a10028968dd7118f01044392a2b6d6028,1016
0x1ca02ace57dcc4a25f31c98dd093355c2cdd0cb5,1005
0x3b4ec5d5efe9899d59f4d46004a031f819d1f32b,1005
0x73b05a879b2f0ed878befd41af9e7db23c457e91,1005
0x99d4064803fe72b5ff71a904bad1b743220aff7f,1005
0xa95121f751c7dd80617bd7c0c27d872390049693,1005
0xc12feb30b419e87e9ca050d20e345474d185cb2b,1005
0xc54a3ae51da8d3f567d6f2fe95bd5d3fd1a2b1a0,1005
0xe879c624df7733199aa6b61dff0a7965f2f36caa,1005
0xf0a18a8903e7e3baa8028f7cd2148ef306f8a1e3,1005
0x203f490ef95057fd16d064a03e71a55359fb8a0f,1002
0x194d14941ef5b1372232edb50159c7a01fd49acc,1000
0x1d35327c901004c4a702f5ea76682325320270bf,1000
0x1eb67ced78c74fc4c6122d9ee60fea92a91065a2,1000
0x336c17096ab657e72a6a2e07490b5d3c836ce02a,1000
0x57b38610fd0350650515ce22cae98d3a6ec26fc4,1000
0x5f81328c36fa0029c94a087b78fa18d8e8dc87a0,1000
0x63923744082a9120bd9bef021dee9e95eba2f07f,1000
0x80787d82f249cdc701e43916260f911072c44206,1000
0xa4ee65c37fd7714fb794af84f7a06a6ae394d0a8,1000
0xb89ee55e9aa34927d612bf5475685e67cfdd971f,1000
0xd344d48c1eea3224e57a72312e3abc37d2564319,1000
0xff26ccf9058b9bd8facfb6a8876864fec193285d,986
0x7f630b9289dea3366a61429507ab210ec78e4c9e,962
0x8fe435e1e22227ed5f2bdcd7a4e15d4a1fbf942c,939
0xa44c22dce05acda274d77f743864c32c804262d1,939
0x7354a25fd6a84dfa8da4e14c1b4f59b94b189d06,916
0xd565d85be73a6462e8b0676196f42aa6577b5c2f,897
0xba9c8d62e5af119dc149caeac2a7094d4b1f691f,892
0x506af55a865803f28f37bb4ad53f57c6f39519a2,891
0x744316ba0c8b594e039935b215d83ac46f133f5d,884
0xd477c9182477b53f0e1fb2c425842d8e32f5f881,881
0xad184b0ab75933136461ae8db75c40886587e971,879
0x899a23cb82406472268802c4fe8e30b45c6d3aea,852
0x03d614e22de662ed0149893a8a3f528274dbbc7a,836
0xde8677cd8aa77e77710e0265cd984b29ee85867a,830
0xdb1464029ac2ba3ecb846cec720a6d814f60f065,815
0xc6fe0989763ced3797fec6c78b1caf747a9defd8,812
0xdf4181b6b88f39af04ba6569a8cad2877b25e9c2,792
0x0045741732f8ee204123dc4ed19096dce367fcfb,790
0x3633646abea34805d2008dbd9ff7821a96b39ad6,783
0xb7f5468f6151f898b3d5a78241954aaed7cdf6ba,782
0xe3f3f017e9b6eeed57ac62186fa416ee0af04974,773
0xeb46d0760e3f492600c67e80c8e632fb5a0587cc,761
0xe1812429f317e023a30617271d756a82fd6006c3,759
0xd18aa1d32267f0331e35c90f77e5dc3b4fc513e8,756
0x8145140ad008a4727bb3f14793dec02670a0a4c3,754
0x9426c84f79f8638acca04082dc23651f61830783,732
0xadd6288ad74a02cdc9ae5959e6febb486251b07f,701
0x822bdf756e796a1b554e61c7cfd2b3921c265fdf,676
0x00d2aba0a7959fda2b0db19e20ce00512695bc2f,670
0x4c20df12165a5396a8bdff7179866a78abda3abc,670
0x66371f8c6a2ba7ba753ccbfd9cdd11b1c3937e08,670
0xb051cfb8718ad1589a6ead5752805ade9383b28b,670
0xc7530e0d3d5e574e1a623802f7f3359923625752,670
0x78b0f3f45383f8c29e9f1d6e7f7023684fa7e002,669
0xfc1a579f2db1e8728a3c34de24d2437077d7f91b,667
0x59dbc62581ee92bdb2a6d61080a3330c77f111be,667
0x70157333948bc96a6f2f6f5b7359a9bd1a24a3b7,662
0x2942126f94dce9774811605f85a75e04ab46fffd,649
0x4dbec2b381e2031018df964953c12155c089b68d,649
0x9b750d4c8cf2e84682f48d843313061dcbbd8a67,648
0xb3bd6b79260866a3a26d1a74f2b5fe4ce4afbbba,644
0xb359a6c2315d2ddce9bdbe1d7a79535bf4301d0d,641
0x3e7dd7df9c1ffd12b8ecd94a27472bdc4d87ab7e,640
0x28805134ae636eeaf7783344c7efcf0cb9d9e8f4,634
0xbf8770514ab1b47db2350b10124b532c3b6ff4b2,624
0x17406d74c5e04c4040e77cd6d3d5a6f0ac25426e,622
0xb57d738a7ed6b2a2c627205e74f01aa4a64c0b16,620
0x084098d591704b60211b1d6b61a106f2a687f4b1,618
0x08089b6d3653599b5d43cb4d0056b2130b48f0f4,603
0xf88e5b0304e9a9989e5ba60569c6b79897481684,600
0xe79e4a95dd61ca9e6ffd8821054a3745a229e33d,583
0x2a4c0a6e38f2ed802e43d02a7dcd04fdfbfe274d,580
0x66fac4c7008d2c89d08cff161487e55415621eba,577
0xcc89fb091e138d5087a8742306aedbe0c5cf8ce6,575
0x3aabdd79c5e3d969f3a58df46a3e5159167f205f,575
